01. 🙏 @ Nam-mô tát đát tha # 如來 | Tathāgata | तथागत — Trở về với Như Lai là trở về chân tâm: rỗng rang mà sáng, thương khắp chúng sinh.
25. 🙏 Xá ba noa # 以音攝心 | Śabda-smṛti | शब्द-स्मृति — Một âm lành đưa tâm quay lại; phản văn văn tự tánh là cửa vào bất diệt.
26. Yết ra ha # 攝持 | Grahaṇa | ग्रहण — Yết ra ha là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
27. Ta ha ta ra ma tha nẩm # 降伏 | Abhibhava | अभिभव — Ta ha ta ra ma tha nẩm phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
28. Nam-mô bạt ra ha ma ni # 梵天 | Brahmā | ब्रह्मा — Nam-mô bạt ra ha ma ni nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
29. Nam-mô nhơn dà ra da # 帝釋 | Indra | इन्द्र — Nam-mô nhơn dà ra da dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
30. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
31. Lô đà ra da. # 大自在 | Maheśvara | महेश्वर — Lô đà ra da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
32. Ô ma bát đế # 柔伏 | Mṛdutā | मृदुता — Ô ma bát đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
33. Ta hê dạ da. # 正行 | Samyak-caryā | सम्यक्-चर्या — Ta hê dạ da là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
34. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
35. Na ra dả # 最尊 | Uttama | उत्तम — Na ra dả dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
36. Noa da # 引導 | Nāyaka | नायक — Noa da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
37. 🙏 Bàn dá ma ha tam mộ đà da # 大三昧 | Mahāsamādhi | महासमाधि — Đại tam-muội là tâm bất động giữa sóng, thấy mọi pháp không mà vẫn cứu đời.
38. Nam-mô tất yết rị đa da # 成就者 | Siddha | सिद्ध — Nam-mô tất yết rị đa da là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
39. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
40. Ma ha ca ra da # 大威力 | Mahābala | महाबल — Ma ha ca ra da nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
41. Ðịa rị bác lặc na # 堅固 | Dṛḍha | दृढ — Ðịa rị bác lặc na là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
42. Dà ra tỳ đà ra # 破障 | Vighna-bheda | विघ्न-भेद — Dà ra tỳ đà ra nhắc tôi tồi phá ác niệm, nhưng vẫn giữ lòng thương với chúng sinh đang mê.
43. Ba noa ca ra da. # 護持 | Pālana | पालन — Ba noa ca ra da là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
44. A địa mục đế # 殊勝解 | Adhimukti | अधिमुक्ति — A địa mục đế đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
45. Thi ma xá na nê # 捨生死 | Saṃsāra-tyāga | संसार-त्याग — Thi ma xá na nê nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
46. Bà tất nê # 清淨 | Viśuddhi | विशुद्धि — Bà tất nê là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
47. Ma đát rị dà noa # 法母 | Dharma-mātṛ | धर्म-मातृ — Ma đát rị dà noa nuôi lớn tâm từ, để mỗi câu chú trở thành một bàn tay nâng chúng sinh.
48. Nam-mô tất yết rị đa da # 成就者 | Siddha | सिद्ध — Nam-mô tất yết rị đa da là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
49. 🙏 Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
50. Ða tha dà đa câu ra da # 如來族 | Tathāgata-kula | तथागत-कुल — Ða tha dà đa câu ra da đưa tâm vào cửa tính không: không chấp thân, không chấp cảnh, không bỏ từ bi.
51. Nam-mô bát đầu ma câu ra da. # 蓮華族 | Padma-kula | पद्म-कुल — Nam-mô bát đầu ma câu ra da nuôi lớn tâm từ, để mỗi câu chú trở thành một bàn tay nâng chúng sinh.
52. Nam-mô bạc xà ra câu ra da. # 金剛族 | Vajra-kula | वज्र-कुल — Nam-mô bạc xà ra câu ra da là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
53. Nam-mô ma ni câu ra da # 摩尼族 | Maṇi-kula | मणि-कुल — Nam-mô ma ni câu ra da gợi Phật Đảnh: lấy chánh định hàng phục ma sự, lấy từ bi giữ đạo tâm.
54. Nam-mô dà xà câu ra da # 象族 | Gaja-kula | गज-कुल — Nam-mô dà xà câu ra da đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
55. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
56. Ðế rị trà # 持 | Dhāraṇa | धारण — Ðế rị trà là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
57. Du ra tây na. # 勇猛 | Vīrya | वीर्य — Du ra tây na dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
58. Ba ra ha ra noa ra xà da # 大自在王 | Mahāsvatantra-rāja | महास्वतन्त्र-राज — Ba ra ha ra noa ra xà da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
59. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Như Lai là chân thật đang hiện tiền: không đến không đi, chỉ vì mê mà quên.
60. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
61. 🙏 Nam-mô A di đa bà da # 阿彌陀佛 | Amitābha | अमिताभ — Nam-mô A di đa bà da là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
62. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Ða tha dà đa da đưa tâm vào cửa tính không: không chấp thân, không chấp cảnh, không bỏ từ bi.
63. A ra ha đế. # 阿羅漢 | Arhat | अर्हत् — A ra ha đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
64. Tam-miệu tam bồ đà da # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà da là ánh sáng trí tuệ soi vào tính không, để tâm hết sợ cái được mất.
65. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
66. A sô bệ da # 阿閦佛 | Akṣobhya | अक्षोभ्य — A sô bệ da đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
67. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Ða tha dà đa da là một cánh sen pháp: mọc giữa bùn khổ mà vẫn hướng mặt trời.
68. A ra ha đế # 阿羅漢 | Arhat | अर्हत् — A ra ha đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
69. Tam-miệu tam bồ đà da # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà da là ánh sáng trí tuệ soi vào tính không, để tâm hết sợ cái được mất.
70. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
71. Bệ xa xà da # 藥師佛 | Bhaiṣajyaguru | भैषज्यगुरु — Bệ xa xà da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
72. Câu lô phệ trụ rị da # 琉璃光 | Vaiḍūrya-prabhā | वैडूर्य-प्रभा — Câu lô phệ trụ rị da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
73. 🙏 Bác ra bà ra xà da # 大威德 | Mahātejas | महातेजस् — Bác ra bà ra xà da là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
74. Ða tha dà đa da. # 如來 | Tathāgata | तथागत — Ða tha dà đa da nhắc tôi nhìn mọi biến cố như bọt nước, rồi trở về chân tâm lặng sáng.
75. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
76. Tam bổ sư bí đa # 三導師力 | Triguru-bala | त्रिगुरु-बल — Tam bổ sư bí đa là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
77. Tát lân nại ra lặc xà da # 忍德攝伏 | Kṣānti-guṇa | क्षान्ति-गुण — Tát lân nại ra lặc xà da nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
78. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Ða tha dà đa da là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
79. A ra ha đế # 阿羅漢 | Arhat | अर्हत् — A ra ha đế nhắc tôi học Địa Tạng: xuống chỗ tối để thắp đèn, không bỏ chúng sinh.
80. Tam-miệu tam bồ đà da # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà da nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
81. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
82. Xá kê dã mẫu na duệ # 釋迦佛 | Śākyamuni | शाक्यमुनि — Thích Ca mở đường để người phàm nhận lại tri kiến Phật giữa cõi đời.
83. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Ða tha dà đa da là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
84. A ra ha đế # 阿羅漢 | Arhat | अर्हत् — A ra ha đế nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
85. 🙏 Tam-miệu tam bồ đà da # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà da nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
86. Nam-mô bà dà bà đế # 世尊 | Bhagavān | भगवान् — Nam-mô bà dà bà đế nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
87. Lặc đát na kê đô ra xà da # 寶王 | Ratnarāja | रत्नराज — Lặc đát na kê đô ra xà da giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
88. Ða tha dà đa da # 如來 | Tathāgata | तथागत — Ða tha dà đa da là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
89. A ra ha đế # 阿羅漢 | Arhat | अर्हत् — A ra ha đế dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
90. Tam-miệu tam bồ đà da # 正覺 | Samyakbodhi | सम्यक्बोधि — Tam-miệu tam bồ đà da nhắc tôi thấy biết mà không chấp biết; kiến tinh vẫn sáng giữa muôn cảnh đổi thay.
91. Ðế biều # 帝瓢 | Devatā | देवता — Ðế biều là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
92. Nam-mô tát yết rị đa # 成就 | Siddhi | सिद्धि — Nam-mô tát yết rị đa giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
93. Ế đàm bà dà bà đa # 此世尊 | Ayaṃ Bhagavān | अयं भगवान् — Ế đàm bà dà bà đa nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
94. Tát đác tha dà đô sắc ni sam # 佛頂 | Buddhoṣṇīṣa | बुद्धोष्णीष — Tát đác tha dà đô sắc ni sam giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
95. Tát đác đa bát đác lam # 白傘蓋 | Sitātapatra | सितातपत्र — Lọng trắng che tâm người tu: giữa bão nghiệp vẫn nhớ tính không và lòng từ.
96. Nam-mô a bà ra thị đam # 歸命 | Śaraṇāgati | शरणागति — Nam-mô a bà ra thị đam là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
97. 🙏 Bác ra đế # 世尊 | Bhagavān | भगवान् — Bác ra đế đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
98. Dương kỳ ra # 放光 | Prabhā | प्रभा — Dương kỳ ra dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
99. Tát ra bà # 一切 | Sarva | सर्व — Tát ra bà là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
100. Bộ đa yết ra ha # 降伏 | Abhibhava | अभिभव — Bộ đa yết ra ha là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
101. Ni yết ra ha # 不亂 | Avikṣepa | अविक्षेप — Ni yết ra ha dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
102. Yết ca ra ha ni # 攝持 | Grahaṇa | ग्रहण — Yết ca ra ha ni giữ cửa sáu căn, để nghe thấy đều trở về tánh biết bất động.
103. Bạt ra bí địa da # 破無明 | Avidyā-bheda | अविद्या-भेद — Bạt ra bí địa da là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
104. Sất đà nể # 圓滿 | Paripūrṇa | परिपूर्ण — Sất đà nể dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
105. A ca ra # 不動 | Acala | अचल — A ca ra đưa tâm vào cửa tính không: không chấp thân, không chấp cảnh, không bỏ từ bi.
106. Mật rị trụ # 無畏 | Abhaya | अभय — Mật rị trụ gợi lời Lăng Nghiêm: phản văn văn tự tánh, quay lại nghe nơi tâm bất diệt.
107. Bát rị đác ra da # 吉祥 | Maṅgala | मङ्गल — Bát rị đác ra da dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
108. Nảnh yết rị # 堅固 | Dṛḍha | दृढ — Nảnh yết rị dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
109. 🙏 Tát ra bà # 一切 | Sarva | सर्व — Tát ra bà là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
110. Bàn đà na # 繫縛 | Bandhana | बन्धन — Bàn đà na dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
111. Mục xoa ni # 解脫 | Mokṣa | मोक्ष — Giải thoát là thấy không có cái tôi bị giam, chỉ có tâm cần tỉnh lại.
112. Tát ra bà # 一切 | Sarva | सर्व — Tát ra bà là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
113. Ðột sắc tra # 摧破 | Bheda | भेद — Ðột sắc tra phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
114. Ðột tất phạp # 速成 | Kṣipra-siddhi | क्षिप्र-सिद्धि — Ðột tất phạp đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
115. Bát na nể # 守護 | Rakṣā | रक्षा — Bát na nể dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
116. Phạt ra ni # 清淨 | Viśuddhi | विशुद्धि — Phạt ra ni đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
117. Giả đô ra # 堅固 | Dṛḍha | दृढ — Giả đô ra đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
118. Thất đế nẩm # 真諦 | Paramārtha | परमार्थ — Thất đế nẩm là ngọn đèn giúp tôi phân biệt chánh tà mà không sinh kiêu mạn.
119. Yết ra ha # 攝護 | Parigraha-rakṣā | परिग्रह-रक्षा — Yết ra ha là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
120. Ta ha tát ra nhã xà # 千眼王 | Sahasranetra-rāja | सहस्रनेत्र-राज — Ta ha tát ra nhã xà dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
121. 🙏 Tỳ đa băng ta na yết rị # 降伏 | Abhibhava | अभिभव — Tỳ đa băng ta na yết rị phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
122. A sắc tra băng xá đế nẩm # 八部 | Aṣṭasenā | अष्टसेना — A sắc tra băng xá đế nẩm đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
123. Na xoa sát đác ra nhã xà # 夜叉王 | Yakṣarāja | यक्षराज — Na xoa sát đác ra nhã xà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
124. Ba ra tát đà na yết rị # 守護 | Rakṣā | रक्षा — Ba ra tát đà na yết rị nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
125. A sắc tra nẩm # 八眾 | Aṣṭagaṇa | अष्टगण — A sắc tra nẩm là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
126. Ma ha yết ra ha nhã xà # 大鬼王 | Mahābhūtarāja | महाभूतराज — Ma ha yết ra ha nhã xà dạy tôi hàng phục sân hận, tiêu diệt bóng tối bằng ánh sáng tu học.
127. Tỳ đa băng tát na yết rị # 攝伏 | Vaśīkaraṇa | वशीकरण — Tỳ đa băng tát na yết rị nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
128. Tát bà xá đô lô # 普攝 | Sarvasaṃgraha | सर्वसंग्रह — Tát bà xá đô lô là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
129. Nể bà ra nhã xà # 守護王 | Rakṣārāja | रक्षाराज — Nể bà ra nhã xà dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
130. Hô lam đột tất phạp # 摧破 | Bheda | भेद — Hô lam đột tất phạp phá ma mà không nuôi hận; chỉ trả tâm về trong sạch và tỉnh thức.
131. Nan giá na xá ni # 障礙 | Vighna | विघ्न — Nan giá na xá ni nhắc tôi đừng chạy theo bóng cảnh, hãy nhận lại tánh thấy chưa từng mất.
132. Bí sa xá # 鬼神 | Bhūtadeva | भूतदेव — Bí sa xá là phá tà nơi chính tâm: ma ngoài không đáng sợ bằng mê chấp bên trong.
133. 🙏 Tất đác ra # 真實 | Tattva | तत्त्व — Tất đác ra là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
134. A kiết ni # 火 | Agni | अग्नि — A kiết ni gợi Diệu Pháp Liên Hoa: phương tiện đưa người về chân thật, không bỏ ai lại.
135. Ô đà ca ra nhã xà # 水王 | Varuṇa | वरुण — Ô đà ca ra nhã xà giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
136. A bát ra thị đa câu ra # 不動 | Acala | अचल — A bát ra thị đa câu ra là bài học vô ngã: có mặt giữa đời mà không bị đời trói.
137. Ma ha bác ra chiến trì # 大力 | Mahābala | महाबल — Ma ha bác ra chiến trì dạy tôi lấy tính không làm nền, lấy từ bi làm đường, lấy tu học làm hơi thở.
138. Ma ha điệp đa # 大光 | Mahāprabhā | महाप्रभा — Ma ha điệp đa là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
139. Ma ha đế xà # 大威 | Mahātejas | महातेजस् — Ma ha đế xà nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
140. Ma ha thuế đa xà bà ra # 大白 | Mahāśveta | महाश्वेत — Ma ha thuế đa xà bà ra giúp tôi quay về tánh biết sáng suốt, thương chúng sinh mà không vướng ngã.
141. Ma ha bạt ra bàn đà ra # 大護 | Mahārakṣā | महारक्षा — Ma ha bạt ra bàn đà ra là áo giáp của người tu: mềm lòng với chúng sinh, cứng rắn với tà niệm.
142. Bà tất nể # 清淨 | Viśuddhi | विशुद्धि — Bà tất nể là lời nhắc: kiến tánh không sinh diệt, phiền não chỉ là mây qua trời.
143. A rị da đa ra # 聖者 | Ārya | आर्य — A rị da đa ra đưa tâm trở về chỗ lặng; thấy khổ mà không ghét đời, thấy người mà khởi thương.
144. Tỳ rị câu tri # 智慧 | Vidyā | विद्या — Tỳ rị câu tri mở con mắt tuệ: cảnh đến cảnh đi, tánh thấy không theo sinh diệt.
145. 🙏 Thệ bà tỳ xà da # 勝利 | Jaya | जय — Thệ bà tỳ xà da nhắc tôi thấy các pháp như huyễn, buông chấp để trở về chân tâm.
146. Bạt xà ra ma lễ để # 金剛 | Vajra | वज्र — Bạt xà ra ma lễ để dạy tôi hộ trì pháp trong từng ý nghĩ, từng lời nói và từng việc nhỏ.
147. Tỳ xá lô đa # 廣大 | Viśāla | विशाल — Tỳ xá lô đa là lời trở về: bỏ tà ma trong tâm, nuôi ánh sáng cho mình và người.
148. Bột đằng dõng ca # 勇猛 | Vīrya | वीर्य — Bột đằng dõng ca nhắc rằng mọi cảnh đều vô thường, chỉ tâm giác biết cần được nuôi lớn.
149. Bạt xà ra chế hắt na a giá # 金剛王 | Vajrarāja | वज्रराज — Bạt xà ra chế hắt na a giá là kết giới nơi tâm: tà ma không vào được khi chánh niệm còn sáng.
150. Ma ra chế bà # 破魔 | Māra-bheda | मार-भेद — Ma ra chế bà là tiếng chuông cắt đứt tà kiến, đưa tâm về đường thẳng của chánh pháp.
151. Bát ra chất đa # 勇士 | Vīra | वीर — Bát ra chất đa là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
152. Bạt xà ra thiện trì # 金剛護 | Vajra-rakṣā | वज्र-रक्षा — Bạt xà ra thiện trì nhắc tôi dựng ranh giới thiện lành, bảo hộ chân tâm khỏi tham sân si.
153. Tỳ xá ra giá # 威德 | Tejas | तेजस् — Tỳ xá ra giá là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
154. Phiến đa xá # 遍照 | Samantaprabhā | समन्तप्रभा — Phiến đa xá là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
155. Bệ để bà # 光明 | Prabhā | प्रभा — Bệ để bà dạy tôi học đạo bằng tâm rỗng rang: không giữ tà niệm, không bỏ lòng từ.
156. Bổ thị đa # 成就 | Siddhi | सिद्धि — Bổ thị đa là một bước tu học: phá mê, lìa tà, giữ giới và yêu thương chúng sinh.
